WEEK_Monday_name,LOB_L1,LOB_L2,MARKET_LANGUAGE_L5,QUEUE_NAME_L8,AHT,Total Volume,Target_Effec Work Hours,HC,WFM_Saturation %
W09,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,30.939706470588234,42,25.59,91,0.01%
W10,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,38.33930738461538,156,25.59,91,0.06%
W11,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,37.46576494117647,95,25.59,91,0.03%
W12,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,34.49307692307692,149,25.59,91,0.03%
W13,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,36.37121951219512,58,25.59,91,0.02%
W14,TTR2,TTR2,FR,2-Content Quality Label 1-Fr-Commerce-Corporate-4.0,38.807209767441854,62,25.59,91,0.03%
W09,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,42.23368583080473,214200,25.59,91,108.01%
W10,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,42.36204866194731,214200,25.59,91,108.71%
W11,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,45.738361489144765,214200,25.59,91,116.93%
W12,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,47.70287744672859,214200,25.59,91,121.96%
W13,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,43.04748023523939,215100,25.59,91,110.80%
W14,TTR2,TTR2,FR,2-Content Quality Label-Fr-Global-4.0,42.34744648404362,214200,25.59,91,107.96%
W09,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,12.590962202029612,40091,25.59,91,5.45%
W10,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,13.258025704529661,38813,25.59,91,4.40%
W11,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,13.500488894166365,34128,25.59,91,4.78%
W12,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,15.545011250000002,42953,25.59,91,6.92%
W13,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,15.603188846659819,47930,25.59,91,8.27%
W14,TTR2,TTR2,FR,2-Gcp-Reported Chats-Fr-4.0,15.60306821956167,45778,25.59,91,7.96%
W09,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,37.518697857768906,135660,25.59,91,60.70%
W10,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,37.925865206037784,135660,25.59,91,61.77%
W11,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,39.20959542392965,135660,25.59,91,63.45%
W12,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,38.89698242579592,135660,25.59,91,63.15%
W13,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,35.83032480158265,102168,25.59,91,43.66%
W14,TTR2,TTR2,FR,2-Tt-Video-General-Full Review-Fr-B,35.16571155619507,56448,25.59,91,23.64%
W09,TTR2,TTR2,FR,Cf Labelling - Fr,50.00001312534922,2834,25.59,91,0.00%
W10,TTR2,TTR2,FR,Cf Labelling - Fr,70.72090945121951,2859,25.59,91,0.34%
W11,TTR2,TTR2,FR,Cf Labelling - Fr,75.50233821184919,2835,25.59,91,2.81%
W12,TTR2,TTR2,FR,Cf Labelling - Fr,66.77691717232626,2860,25.59,91,1.59%
W13,TTR2,TTR2,FR,Cf Labelling - Fr,78.66314385343762,2839,25.59,91,0.25%
W14,TTR2,TTR2,FR,Cf Labelling - Fr,74.87192113092979,2864,25.59,91,2.97%
W10,TTR2,TTR2,FR,Collection Appeal-Fr,21.366,1,25.59,91,0.00%
W09,TTR2,TTR2,FR,Collection First Review-Fr,6.128,1,25.59,91,0.00%
W10,TTR2,TTR2,FR,Collection First Review-Fr,8.374,1,25.59,91,0.00%
W11,TTR2,TTR2,FR,Collection First Review-Fr,8.848333333333334,3,25.59,91,0.00%
W12,TTR2,TTR2,FR,Collection First Review-Fr,7.289499999999999,3,25.59,91,0.00%
W13,TTR2,TTR2,FR,Collection First Review-Fr,5.272,1,25.59,91,0.00%
W14,TTR2,TTR2,FR,Collection First Review-Fr,4.658,3,25.59,91,0.00%
W09,TTR2,TTR2,FR,Collection Reported By User-Fr,8.618066779661017,54,25.59,91,0.00%
W10,TTR2,TTR2,FR,Collection Reported By User-Fr,17.163954418604654,49,25.59,91,0.00%
W11,TTR2,TTR2,FR,Collection Reported By User-Fr,14.03822185185185,26,25.59,91,0.00%
W12,TTR2,TTR2,FR,Collection Reported By User-Fr,10.8909798,48,25.59,91,0.00%
W13,TTR2,TTR2,FR,Collection Reported By User-Fr,28.013659999999994,50,25.59,91,0.01%
W14,TTR2,TTR2,FR,Collection Reported By User-Fr,18.195999999999998,43,25.59,91,0.01%
W09,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,41.42743508030154,5807,25.59,91,2.57%
W10,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,44.72422013356818,8322,25.59,91,2.66%
W11,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,49.91428222752889,9175,25.59,91,3.91%
W12,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,52.01599519015424,10653,25.59,91,5.59%
W13,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,47.71317819989253,12707,25.59,91,6.25%
W14,TTR2,TTR2,FR,Gcp-Analytics-Video Appeal-Fr-4.0,44.06407881461356,12682,25.59,91,5.96%
W09,TTR2,TTR2,FR,Gcp-Videos Reported By User-Fr-Rr2.0,54.357229535617265,23604,25.59,91,15.11%
W10,TTR2,TTR2,FR,Gcp-Videos Reported By User-Fr-Rr2.0,55.80989843080257,23602,25.59,91,15.81%
